Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,CV F1 (mean),Training Time (s)
Logistic Regression,0.8772727272727273,0.8772420147420147,0.8772727272727273,0.8771481942714819,0.9657525832183366,0.8797710325957405,0.91
Random Forest,0.8772727272727273,0.8791635023453205,0.8772727272727273,0.8767673173650757,0.9839941435831845,0.8822024850109764,10.23
Decision Tree,0.8727272727272727,0.8839815264948956,0.8727272727272727,0.8746516997276454,0.9634491434148967,0.885382521917044,0.4
XGBoost,0.8727272727272727,0.8727903700633374,0.8727272727272727,0.8726787325228884,0.9683080340614587,0.8886917441507777,12.21
